"#","RefDes","Name","Value","Part","Quantity"
"1","C1, C2, C7, C9","GRM216R71H103K","0.01uF","Part 1","4"
"2","C3, C4, C8, C10","GRM21BR71H104K","0.1uF","Part 1","4"
"3","C5, C6","B41121A5226M000","22uF","Part 1","2"
"4","C11, C12","GRM2195C2D220J","22pF","Part 1","2"
"5","D1, D2","10BQ060","","Part 1","2"
"6","DS1","SA56-11EWA","","Part 1","1"
"7","J1","47346-0001","","Part 1","1"
"8","J2","PBS-6R (DS-1024-1x6-R)","","Part 1","1"
"9","J3, J4","KLS2-126-5.00-02P-4S (DG126-5.0-02P-14)","","Part 1","2"
"10","NetPort1, NetPort27, NetPort29, NetPort30","+5V","","Part 1","4"
"11","NetPort2, NetPort3, NetPort12, NetPort13, NetPort16, NetPort17, NetPort20, NetPort23","+3V3","","Part 1","8"
"12","NetPort4, NetPort5, NetPort6, NetPort7, NetPort8, NetPort9, NetPort10, NetPort11, NetPort14, NetPort15, NetPort18, NetPort19, NetPort21, NetPort22, NetPort24, NetPort25, NetPort26, NetPort28, NetPort31, NetPort32, NetPort33","VSS","","Part 1","21"
"13","R1, R2, R3, R4","4.7k (0805)","4.7k","Part 1","4"
"14","R5, R6, R7, R8, R9, R10","1k (0805)","1k","Part 1","6"
"15","S1","DS1040-03RN","","Part 1","1"
"16","U1","MC33269DT-3.3G","","Part 1","1"
"17","U2, U7","USB6B1RL","USB6B1RL","Part 1","2"
"18","U3","DS18B20","","Part 1","1"
"19","U4","STM32F042F6P6","","Part 1","1"
"20","U5","STP08DP05MTR","","Part 1","1"
"21","U6","SN75176BD","","Part 1","1"
"22","Y1","HC-49SM","8MHz","Part 1","1"
"","","","","","71"
