RefDes,Name,X (in),Y (in),Side,Rotate,Value
C1,GRM216R71H103K,0.362,0.887,Top,0,0.01uF
C2,GRM216R71H103K,0.362,0.725,Top,0,0.01uF
C3,GRM21BR71H104K,0.925,0.887,Top,0,0.1uF
C4,GRM21BR71H104K,0.925,0.738,Top,0,0.1uF
C5,B41121A5226M000,1.384,0.4,Top,0,22uF
C6,B41121A5226M000,1.359,1.138,Top,0,22uF
C7,GRM216R71H103K,0.362,0.575,Top,0,0.01uF
C8,GRM21BR71H104K,0.575,0.5,Top,0,0.1uF
C9,GRM216R71H103K,0.362,0.425,Top,0,0.01uF
C10,GRM21BR71H104K,0.8,0.5,Top,0,0.1uF
C11,GRM2195C2D220J,0.462,1.3,Top,0,22pF
C12,GRM2195C2D220J,0.95,1.3,Top,0,22pF
D1,10BQ060,0.487,0.213,Top,270,
D2,10BQ060,2.887,1.088,Top,270,
DS1,SA56-11EWA,2.225,0.95,Top,90,
J1,47346-0001,0.867,0.113,Top,0,
J2,PBS-6R (DS-1024-1x6-R),0.138,0.712,Top,90,
J3,KLS2-126-5.00-02P-4S (DG126-5.0-02P-14),3.238,0.903,Top,270,
J4,KLS2-126-5.00-02P-4S (DG126-5.0-02P-14),3.238,0.509,Top,270,
R1,4.7k (0805),1.675,0.75,Top,270,4.7k
R2,4.7k (0805),1.838,0.75,Top,90,4.7k
R3,4.7k (0805),1.675,0.562,Top,90,4.7k
R4,4.7k (0805),1.838,0.562,Top,90,4.7k
R5,1k (0805),1.675,0.35,Top,270,1k
R6,1k (0805),1.838,0.35,Top,270,1k
R7,1k (0805),2.5,0.462,Top,90,1k
R8,1k (0805),2.65,0.462,Top,90,1k
R9,1k (0805),2.8,0.462,Top,90,1k
R10,1k (0805),2.962,0.462,Top,90,1k
S1,DS1040-03RN,2.162,0.287,Top,90,
U1,MC33269DT-3.3G,1.303,0.76,Top,0,
U2,USB6B1RL,1.013,0.406,Top,90,USB6B1RL
U3,DS18B20,2.6,0.162,Top,0,
U4,STM32F042F6P6,0.622,0.773,Top,270,
U5,STP08DP05MTR,1.744,1.125,Top,180,
U6,SN75176BD,2.643,0.755,Top,90,
U7,USB6B1RL,2.638,1.119,Top,90,USB6B1RL
Y1,HC-49SM,0.703,1.113,Top,0,8MHz
